4321143;26239240;26239242;
4321143;26239242;26239244;
4321143;26239244;3042148439;
4321143;3042148439;26239247;
4321148;26239263;3042148440;
4321148;3042148440;3787508018;
4321148;3787508018;26239260;
4321148;26239260;26239258;
4321148;26239258;26239256;
4321148;26239256;26239255;
4321150;2286230427;3220045867;
4321150;3220045867;3220045849;
4321150;3220045849;3787419976;
4321150;3787419976;1103864119;
4321150;1103864119;3026169198;
4321153;26239302;26239303;
4321153;26239303;26239304;
4321160;26239307;3787415476;
4321160;3787415476;26239309;
4321160;26239309;26239310;
4321171;3019176253;3028857803;
4321171;3028857803;3028857933;
4321171;3028857933;3028857805;
4321171;3028857805;3028857961;
4321171;3028857961;3019176252;
4321171;3019176252;26239319;
4321171;26239319;26239320;
4321171;26239320;26239321;
4321171;26239321;26239322;
4321171;26239322;26239323;
4321172;26239323;3787508021;
4321172;3787508021;26239450;
4321172;26239450;26239451;
4321172;26239451;26239328;
4321173;26239462;3787508020;
4321173;3787508020;26239460;
4321173;26239460;26239450;
4321174;26239589;26239582;
4321174;26239582;26239578;
4321174;26239578;433721303;
4321174;433721303;26239573;
4321186;26239582;26239322;
4321186;26239322;26239260;
4321186;26239260;26239244;
4321186;26239244;26239291;
4321187;26239420;26239289;
4321187;26239289;26239242;
4321187;26239242;26239258;
4321187;26239258;26239321;
4321187;26239321;26239578;
4321188;26239422;26239303;
4321188;26239303;26239284;
4321188;26239284;26239240;
4321188;26239240;26239310;
4321188;26239310;26239256;
4321188;26239256;26239320;
4321188;26239320;433721303;
4321188;433721303;433721304;
4321188;433721304;1570026701;
4321188;1570026701;1103864033;
4321188;1103864033;1103863794;
4770333;30482052;2570832486;
4770333;2570832486;30482101;
4770333;30482101;1113325516;
4770333;1113325516;30482055;
4770335;30482081;30482070;
4770335;30482070;30482082;
4770335;30482082;30482072;
4770335;30482072;30482075;
4770335;30482075;30482074;
4770335;30482074;1753977029;
4770335;1753977029;1753977018;
4770335;1753977018;3945536788;
4770335;3945536788;1753977009;
4770335;1753977009;1753977024;
4770335;1753977024;1753977013;
4770335;1753977013;1753977016;
4770335;1753977016;3945536787;
4770335;3945536787;1753977020;
4813163;1753977022;1753977046;
4813163;1753977046;30909552;
4813163;30909552;3945536796;
4813163;3945536796;30909736;
4817906;30909554;30482131;
4817906;30482131;469971317;
4817906;469971317;30482138;
4817906;30482138;469971329;
4817906;469971329;30482137;
4817906;30482137;469971332;
4817906;469971332;30482136;
4817906;30482136;469971356;
4817906;469971356;30482135;
4817906;30482135;469971373;
4817906;469971373;30482127;
4817906;30482127;469971375;
4817906;469971375;30482128;
4941133;1753977022;32552634;
4941133;32552634;32552633;
4941133;32552633;3866165777;
4941133;3866165777;3866165778;
7920256;49544356;469971106;
7920256;469971106;469971127;
7920256;469971127;30482140;
7920256;30482140;30482139;
7920256;30482139;30482134;
7920256;30482134;30482133;
7920256;30482133;30482132;
7920256;30482132;1935927762;
7920256;1935927762;469971270;
7920256;469971270;1935927560;
7920256;1935927560;1935927558;
7920256;1935927558;517275579;
18461256;32552628;1581495566;
18461256;1581495566;190431770;
18461256;190431770;190431792;
18461256;190431792;190431816;
18461256;190431816;190431845;
