26239240;38.80006;-9.347931;-0.1631522;0.6771888
26239242;38.79942;-9.346995;-0.1631358;0.6771775
26239244;38.79846;-9.345644;-0.1631123;0.6771609
26239247;38.79743;-9.344325;-0.1630892;0.6771429
26239255;38.80166;-9.348427;-0.1631608;0.6772168
26239256;38.80072;-9.347147;-0.1631385;0.6772004
26239258;38.80007;-9.346202;-0.163122;0.6771889
26239260;38.79913;-9.344872;-0.1630988;0.6771725
26239263;38.79755;-9.342769;-0.1630621;0.6771451
26239282;38.8003;-9.349977;-0.1631879;0.6771929
26239284;38.79939;-9.348682;-0.1631653;0.6771771
26239289;38.79875;-9.347768;-0.1631493;0.6771659
26239291;38.79781;-9.346428;-0.1631259;0.6771495
26239293;38.79745;-9.345934;-0.1631173;0.6771433
26239302;38.79938;-9.350129;-0.1631905;0.677177
26239303;38.79881;-9.349378;-0.1631774;0.6771671
26239304;38.79841;-9.348712;-0.1631658;0.67716
26239307;38.80029;-9.34882;-0.1631677;0.6771927
26239309;38.80072;-9.348284;-0.1631583;0.6772003
26239310;38.80038;-9.347575;-0.163146;0.6771945
26239319;38.80216;-9.347898;-0.1631516;0.6772254
26239320;38.80122;-9.346602;-0.163129;0.677209
26239321;38.80059;-9.345644;-0.1631123;0.677198
26239322;38.79963;-9.344293;-0.1630887;0.6771814
26239323;38.79883;-9.34322;-0.1630699;0.6771673
26239328;38.79794;-9.341457;-0.1630392;0.6771519
26239412;38.79773;-9.341558;-0.1630409;0.677148
26239417;38.7976;-9.347043;-0.1631367;0.6771459
26239420;38.79798;-9.348651;-0.1631647;0.6771525
26239422;38.79835;-9.349908;-0.1631867;0.677159
26239426;38.79866;-9.350408;-0.1631954;0.6771644
26239429;38.79889;-9.350546;-0.1631978;0.6771683
26239450;38.79813;-9.342275;-0.1630535;0.677155
26239451;38.79801;-9.341996;-0.1630486;0.6771531
26239460;38.79811;-9.342619;-0.1630595;0.6771548
26239462;38.79798;-9.342812;-0.1630628;0.6771525
26239468;38.79861;-9.342361;-0.163055;0.6771635
26239573;38.80266;-9.347296;-0.1631411;0.6772341
26239578;38.80111;-9.345043;-0.1631018;0.6772071
26239582;38.80017;-9.343648;-0.1630774;0.6771907
26239589;38.79868;-9.341304;-0.1630365;0.6771647
30482052;38.82264;-9.358706;-0.1633402;0.6775828
30482055;38.81811;-9.359558;-0.1633551;0.6775038
30482056;38.81672;-9.35941;-0.1633525;0.6774795
30482059;38.80806;-9.358203;-0.1633314;0.6773284
30482060;38.80662;-9.359348;-0.1633514;0.6773033
30482061;38.80505;-9.361333;-0.1633861;0.6772759
30482063;38.80178;-9.363638;-0.1634263;0.6772189
30482064;38.79882;-9.363286;-0.1634202;0.6771671
30482065;38.79772;-9.362609;-0.1634084;0.677148
30482066;38.79258;-9.358526;-0.1633371;0.6770582
30482067;38.79058;-9.35796;-0.1633272;0.6770233
30482068;38.78856;-9.358258;-0.1633324;0.6769881
30482069;38.78777;-9.358622;-0.1633388;0.6769742
30482070;38.78418;-9.36207;-0.163399;0.6769117
30482071;38.78574;-9.360377;-0.1633694;0.6769388
30482072;38.7839;-9.363083;-0.1634166;0.6769067
30482073;38.78246;-9.362779;-0.1634113;0.6768816
30482074;38.7837;-9.363483;-0.1634236;0.6769032
30482075;38.78379;-9.363378;-0.1634218;0.6769049
30482076;38.78255;-9.3638;-0.1634291;0.6768832
30482077;38.78218;-9.363577;-0.1634253;0.6768767
30482078;38.78287;-9.363199;-0.1634187;0.6768887
30482079;38.78281;-9.363577;-0.1634253;0.6768878
30482080;38.78376;-9.362109;-0.1633996;0.6769043
30482081;38.78505;-9.361075;-0.1633816;0.6769268
30482082;38.78401;-9.362532;-0.163407;0.6769087
30482083;38.78309;-9.362495;-0.1634064;0.6768926
30482085;38.79503;-9.360373;-0.1633693;0.6771011
30482089;38.78214;-9.363148;-0.1634178;0.6768761
30482091;38.78232;-9.363749;-0.1634282;0.6768792
30482093;38.79177;-9.358191;-0.1633313;0.6770442
30482095;38.78726;-9.358938;-0.1633443;0.6769654
30482097;38.82038;-9.359076;-0.1633467;0.6775434
30482099;38.81815;-9.359389;-0.1633522;0.6775045
30482101;38.81995;-9.359335;-0.1633512;0.677536
30482103;38.80025;-9.363694;-0.1634273;0.6771922
30482105;38.80804;-9.357943;-0.1633269;0.6773282
30482106;38.81673;-9.359273;-0.1633501;0.6774798
30482109;38.80177;-9.3634;-0.1634222;0.6772187
30482110;38.80626;-9.359418;-0.1633527;0.6772971
30482111;38.80491;-9.361185;-0.1633835;0.6772735
30482112;38.79512;-9.360175;-0.1633659;0.6771025
30482113;38.79786;-9.362464;-0.1634058;0.6771503
30482114;38.79881;-9.363048;-0.163416;0.6771669
30482115;38.80027;-9.363483;-0.1634236;0.6771925
30482116;38.78877;-9.35796;-0.1633272;0.6769918
30482117;38.79049;-9.357734;-0.1633233;0.6770218
30482118;38.79164;-9.357916;-0.1633264;0.6770419
30482121;38.7924;-9.358205;-0.1633315;0.6770551
30482122;38.78522;-9.36062;-0.1633736;0.6769298
30482124;38.78666;-9.359152;-0.163348;0.6769549
30482125;38.78743;-9.358573;-0.1633379;0.6769683
30482127;38.78208;-9.362573;-0.1634077;0.676875
30482128;38.78246;-9.362547;-0.1634073;0.6768816
30482129;38.78297;-9.362332;-0.1634035;0.6768904
30482130;38.78363;-9.361955;-0.1633969;0.6769021
30482131;38.78252;-9.361911;-0.1633962;0.6768827
30482132;38.7841;-9.361395;-0.1633872;0.6769102
30482133;38.78371;-9.361337;-0.1633862;0.6769034
